Player Name,Transfer Origin,Transfer Destination,League,Status,Details
Alessandro Finauri,Cisterna Volley,Conad Pala Terni Volley Academy,Italy,Done Deal,Libero from Italy
Marco Stambuco,Italchimici Intersistemi Foligno,Conad Pala Terni Volley Academy,Italy,Done Deal,Setter from Italy
Pier Paolo Partenio,Sarroch Volley,Conad Pala Terni Volley Academy,Italy,Done Deal,Setter from Italy
Aleksandar Kordev,Dunav Ruse,Beroe 2016,Bulgaria,Done Deal,Middle-blocker from Bulgaria
Altan Demiryurek,Beauvais Oise Université Club,Harnes Volley-Ball,France,Done Deal,Libero from France
Check-Ethan Namboue,Nice Volley-Ball CFC,Harnes Volley-Ball,France,Done Deal,Opposite from France
Thomas Lapierre,LISSP Calais,Harnes Volley-Ball,France,Done Deal,Outside Hitter from France
Axel Téllez Rodríguez,Spacer's Toulouse Volley,AO Kalamata 1980 Affidea,France,Done Deal,Middle-blocker from Mexico
Thijs Ter Horst,Shanghai Bright,AONS Milon,China,Done Deal,Outside Hitter from Netherlands
Grega Okroglič,Alpacem Kanal,ACH Volley Ljubljana,Slovenia,Done Deal,Libero from Slovenia
Uroš Planinšič,Rana Verona,ACH Volley Ljubljana,Italy,Done Deal,Setter from Slovenia
Jake Hanes,Berlin Recycling Volleys,Olympiakós,Germany,Done Deal,Opposite from USA
Okan Demiryurek,AS Cannes,Le Plessis-Robinson Volley-Ball,France,Done Deal,Libero from France
Ryan McElligott,Loyola Chicago Univ.,Saint-Quentin Volley,USA,Done Deal,Setter from USA
Stoil Palev,Levski Sofia,Essence Hotels Fano,Bulgaria,Done Deal,Setter from Bulgaria
Linus Weber,PGE Projekt Warszawa,Uijeongbu KB Insurance Stars,Poland,Done Deal,Opposite from Germany
Xander Ketrzynski,AS Cannes,Incheon Korean Air Jumbos,France,Done Deal,Opposite from Canada
Felipe Roque,Hiroshima Thunders,Daejeon Samsung Bluefangs,Japan,Done Deal,Opposite from Brazil
Kyle Russell,Incheon Korean Air Jumbos,Busan OK Savings Bank OKman,South Korea,Done Deal,Opposite from USA
Tsvetan Sokolov,Halkbank Spor Kulübü,Deya Volley,Turkey,Done Deal,Opposite from Bulgaria
Niklas Etlinger,SG Mühlviertel Volleys,VCA Amstetten NÖ,Austria,Done Deal,Outside Hitter from Austria
Erik Shoji,Asseco Resovia Rzeszów,Berlin Recycling Volleys,Poland,Done Deal,Libero from USA
Kristian Titriyski,Hawaii Univ.,Levski Sofia,USA,Done Deal,Opposite from Bulgaria
Svetoslav Ivanov,CSA Steaua București,Levski Sofia,Romania,Done Deal,Outside Hitter from Bulgaria
Rusi Zhelev,Banca Macerata Fisiomed MC,Conad Reggio Emilia,Italy,Done Deal,Outside Hitter from Bulgaria
Robbert Andringa,Gas Sales Bluenergy Piacenza,Tourcoing Lille Métropole,Italy,Done Deal,Outside Hitter from Netherlands
Sacha Luypaert,BW Nivelles Volley,TeamFisk Volley Klein-Brabant Puurs-Sint-Amands,Belgium,Done Deal,Opposite from Belgium
Pieter Winters,KwadrO Amigos Sint-Antonius Zoersel,TeamFisk Volley Klein-Brabant Puurs-Sint-Amands,Belgium,Done Deal,Outside Hitter from Belgium
Nico Fuchs,TSV Jona Volleyball,STV St. Gallen,Switzerland,Done Deal,Opposite from Switzerland
Glen Toma,NTZ Rapperswil-Jona,STV St. Gallen,Switzerland,Done Deal,Setter from Switzerland
Nikolay Ivanov,Campi Reali Cantú,SKV Montana,Italy,Rumor,Outside Hitter from Bulgaria
Porya Yali,Shahrdari Urmia VC,Vôlei Mania Itaquá,Iran,Rumor,Opposite from Iran
Soheil Kamalabadi,Mehregan Noor,Vôlei Mania Itaquá,Iran,Rumor,Outside Hitter from Iran
